FechaSalida;FechaEntrada;Motivo;Ocupacion;Estadia;Gente;GastoTotal;GastoAlojamiento;GastoAlimentacion;GastoTransporteInternac;GatoTransporteLocal;GastoCultural;GastoTours;GastoCompras;GastoResto
13/1/2024;26/1/2024;Ocio, Recreo, Vacaciones;Trabajador Independiente;13;4;2312;900;600;0;295.64;300;0;0;216.36
13/1/2024;17/1/2024;Visita familiares / amigos;Trabajador dependiente;4;4;1183.31;0;304.69;0;329.58;197.16;0;351.88;0
13/1/2024;16/1/2024;Visita familiares / amigos;Profesional dependiente;3;2;900;0;200.7;239.85;217.09;173.16;0;309.05;0
13/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Otros;6;3;1300;400;252.94;0;40;109.12;0;200;297.94
13/1/2024;19/1/2024;Visita familiares / amigos;Trabajador dependiente;6;3;350;0;106.61;0;115.32;45.99;0;82.08;0
13/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Jubilado, Pensionista;6;4;2021.96;552.92;420.7;0;136.45;493.59;0;418.3;0
13/1/2024;19/1/2024;Visita familiares / amigos;Trabajador dependiente;6;3;731.59;0;315.52;0;102.34;0;0;313.73;0
13/1/2024;19/1/2024;Visita familiares / amigos;Trabajador dependiente;6;3;638.75;0;275.48;0;89.35;0;0;273.91;0
13/1/2024;22/1/2024;Ocio, Recreo, Vacaciones;Jubilado, Pensionista;9;3;1500;600;300;0;96.54;232.81;0;200;70.65
13/1/2024;17/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;4;4;860;186.54;173.41;0;187.57;112.21;0;200.27;0
13/1/2024;22/1/2024;Ocio, Recreo, Vacaciones;Trabajador Independiente;9;3;2500;1000;500;0;158.92;400;0;324.78;116.3
14/1/2024;20/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;6;2;777.76;163.88;152.34;0;164.79;0;0;117.29;179.44
14/1/2024;20/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;6;2;777.76;163.88;152.34;67.39;164.79;0;0;117.29;179.44
14/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;5;3;1059.13;150;200;359.77;411.97;197.16;0;100;0
14/1/2024;23/1/2024;Ocio, Recreo, Vacaciones;Trabajador Independiente;9;2;2539.73;700;457.03;600;494.37;150;0;200;538.33
14/1/2024;18/1/2024;Ocio, Recreo, Vacaciones;Estudiante;4;2;520.08;0;249.83;119.92;270.24;0;0;0;0
14/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;5;2;200;0;103.96;0;0;0;0;96.04;0
14/1/2024;21/1/2024;Visita familiares / amigos;Trabajador dependiente;7;1;229.95;0;102.2;119.92;0;0;0;25.55;102.2
14/1/2024;19/1/2024;Visita familiares / amigos;Trabajador dependiente;5;3;1000;0;254.75;0;82.63;358.67;0;303.96;0
15/1/2024;26/1/2024;Ocio, Recreo, Vacaciones;Trabajador Independiente;11;2;2500;1000;500;0;100;405.71;0;343.82;150.48
15/1/2024;17/1/2024;Visita familiares / amigos;Profesional dependiente;2;2;383.25;0;67.41;0;72.91;87.24;0;155.69;0
15/1/2024;17/1/2024;Visita familiares / amigos;Trabajador dependiente;2;1;345;0;60.68;0;65.64;78.53;0;140.15;0
15/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Patron, Com, Ind, Prod Agrop;4;2;500;200;92.69;0;100.26;0;0;107.05;0
15/1/2024;22/1/2024;Ocio, Recreo, Vacaciones;Profesional independiente;7;2;1488.4;382.4;355.47;0;384.51;131.44;0;234.59;0
15/1/2024;20/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;5;2;1932.61;359.88;334.54;67.39;361.87;173.18;0;309.08;394.05
15/1/2024;20/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;5;1;732.61;149.85;139.3;67.39;150.68;0;0;128.7;164.08
15/1/2024;19/1/2024;Compras;Trabajador dependiente;4;1;200;0;92.81;0;0;0;0;107.19;0
15/1/2024;19/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;4;2;704.49;250;138.65;250;166.96;48.88;0;100;0
15/1/2024;26/1/2024;Ocio, Recreo, Vacaciones;Profesional independiente;11;3;2471.03;1100;700;0;70;150;0;313.73;137.3
15/1/2024;22/1/2024;Trabajo / Profesion;Trabajador Independiente;7;1;2000;1072.97;927.03;0;0;0;0;0;0
15/1/2024;30/1/2024;Ocio, Recreo, Vacaciones;Profesional independiente;15;3;6000;0;1800;2400;906.5;463.67;93.03;1714.13;1022.67
15/1/2024;2/2/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;18;1;842.45;422.35;315.52;0;0;0;0;104.58;0
16/1/2024;22/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;6;4;1850;456.58;424.43;0;459.1;183.1;0;326.78;0
16/1/2024;21/1/2024;Visita familiares / amigos;Trabajador dependiente;5;1;500;0;100;0;0;0;0;400;0
16/1/2024;23/1/2024;Ocio, Recreo, Vacaciones;Profesional dependiente;7;3;1810;1247.84;369.73;2090;92.43;0;0;100;0
16/1/2024;1/2/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;16;2;5577.29;2662.05;788.76;3952;197.19;127.37;92.39;1709.53;0
16/1/2024;2/2/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;17;2;8000;2146.98;1617.08;2000;4035.94;0;0;200;0
17/1/2024;22/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;5;2;1200;0;623.73;0;0;0;0;576.27;0
17/1/2024;24/1/2024;Ocio, Recreo, Vacaciones;Profesional independiente;7;2;887.83;191.2;177.73;0;192.25;0;0;117.29;209.35
17/1/2024;22/1/2024;Visita familiares / amigos;Trabajador dependiente;5;3;802.5;0;253.91;0;274.65;0;39.36;234.59;0
17/1/2024;20/1/2024;Compras;Desocupado;3;2;447.52;81.94;76.17;67.39;82.39;0;0;117.29;89.72
17/1/2024;23/1/2024;Visita familiares / amigos;Trabajador Independiente;6;3;1500.44;0;457.03;359.77;494.37;197.16;0;351.88;0
17/1/2024;20/1/2024;Otros;Profesional dependiente;3;2;1000;183.1;170.21;0;184.11;0;0;262.09;200.49
17/1/2024;20/1/2024;Compras;Trabajador dependiente;3;3;600;137.41;127.73;0;138.17;0;0;196.69;0
17/1/2024;23/1/2024;Visita familiares / amigos;Desocupado;6;1;800;0;203.54;240;0;200;0;156.71;239.75
17/1/2024;23/1/2024;Ocio, Recreo, Vacaciones;Trabajador dependiente;6;4;1494.8;724.74;214.74;680;53.68;26.84;0;474.8;0
17/1/2024;24/1/2024;Visita familiares / amigos;Trabajador dependiente;7;4;2000;0;628.48;0;203.84;632.04;0;535.63;0
17/1/2024;22/1/2024;Trabajo / Profesion;Trabajador Independiente;5;1;600;330;200;0;30;0;0;0;40
17/1/2024;27/1/2024;Visita familiares / amigos;Trabajador dependiente;10;3;2000;0;761.94;0;247.13;536.38;0;454.56;0
